,% Inhibitor,% Promoter,% Neither,Total Sentences Found
id2,0.638199760266368,0.22435138003625485,0.13744885302135532,22
egf-,0.008428783534327522,0.9892459710439047,0.002325280550091217,3
ifn-g,0.8915007809797922,0.08994479732064065,0.018554433472066496,6
mos,0.6488806873768529,0.18348944296534075,0.16762986596089224,60
mog,0.6815173907205463,0.22146098053781316,0.0970216269546654,5
tsc1/2,0.9994593262672424,0.0003177907783538103,0.00022289500338956714,1
gap,0.11396193819420244,0.10362042908965724,0.7824176320327616,337
blys,0.9994109869003296,0.00030488581978715956,0.0002841208770405501,1
syn,0.14014590379520087,0.0066205778835305516,0.853233499891268,13
hb-gam,0.10315882084735979,0.6437143490960201,0.25312682799994946,3
ifn-γ,0.3005095040425658,0.6976448098818461,0.0018457322682176407,3
pi3k,0.6189080208132509,0.21791740359246128,0.1631745713896938,24
tubulin,0.4308048486013499,0.3313540899367004,0.23784106728852772,164
atf-2,0.49160981192953596,0.35658027043737583,0.15180992219511363,37
ad-nt-3,0.4096271318073074,0.33059938847630593,0.2597735055605881,3
cgrp,0.36556741373457374,0.341259644876647,0.2931729386568556,55
gsk3,0.5922602690128164,0.2709226187616878,0.13681709801312536,24
rgm,0.4413154432084411,0.28553736535250207,0.27314718294655904,5
igf-1,0.23599317681735454,0.6333673487005027,0.13063947313988228,71
ankrd1,0.9988386034965515,0.0004151112225372344,0.00074627879075706,1
nos,0.21390852904577123,0.2119228201777982,0.5741686323199247,14
rag,0.45963527819872574,0.21239777084944458,0.3279669671497282,9
egf,0.21063226670683538,0.6491327309775888,0.14023500810408052,53
clasp2,0.7403601721993515,0.1256919142906554,0.13394791073681386,7
h&e,0.18466901885622064,0.14323200412327425,0.6720989614026621,5
pll,0.14226173350670573,0.5956036840803027,0.2621345814320281,31
pr,0.5323033311155086,0.08987613574354328,0.37782052982074676,60
c/ebp-β,0.02226161619182676,0.5208739396184683,0.456864432504517,4
cmd,0.0001287935047002975,8.899836757336743e-05,0.9997822642326355,2
smp,0.9982210993766785,0.00027814091299660504,0.0015008205082267523,1
il-8,0.3421351852884982,0.32362685115488904,0.33423795582105714,6
tap,0.0382227320131698,0.0219431844189575,0.9398340656428049,39
hdac5,0.2689007805311121,0.6311864844544537,0.09991274097013626,11
s6k1,0.7727282896360501,0.1250167710785853,0.1022549302891848,47
mmp,0.7224641908089526,0.16139418581507117,0.11614161485502134,9
crem,0.06324945390224457,0.9245802164077759,0.012170356698334217,1
ccl5,0.7658481597900391,0.23378951847553253,0.00036239862674847245,1
nogo,0.9436716703595187,0.017940526557204302,0.03838780464946518,427
ihh,0.24726747882778,0.0027527234069566475,0.7499797639538883,4
ii,0.2244210541206814,0.1254099599074245,0.6501689795192769,525
atra,0.0008129560737870634,0.0005552885122597218,0.9986317753791809,1
gtp,0.9113955597082773,0.011198517633602023,0.07740591712354217,6
sema 3a,0.9897034764289856,0.0020300679534557275,0.0082665161753539,2
ap,0.009507055971641276,0.07976027570981195,0.9107326546398996,95
phb,0.10528009384870529,0.2533973157405853,0.6413225531578064,1
wasp,0.3355800740731259,0.6633625249378383,0.0010574281914159656,3
am-3,0.0016589182196184993,0.9758767485618591,0.02246440015733242,1
camp,0.23917558631785504,0.6582804773928074,0.10254393749192241,250
hdms,0.0035405077505856752,0.001096994848921895,0.9953625202178955,1
ng66r,0.9969972372055054,0.0001473099400755018,0.0028555351309478283,1
ca,0.11832774566757077,0.0902378703355076,0.7914343756852509,131
pacap,0.47626391476217617,0.36534534643420635,0.1583907273389227,23
pdpk1/2,0.9988279938697815,0.00017334125004708767,0.0009985773358494043,1
kab-raf,0.3156215623458896,0.4864344732913499,0.1979439636321331,30
vegf,0.31735593656932387,0.4803294181139271,0.2023146537456861,28
il-1β,0.44969511963427067,0.18975881377700715,0.3605460542763467,10
sreb,0.6274135708808899,0.0018666223622858524,0.3707197904586792,1
gst,0.9486177742481232,0.03836704100976931,0.013015167759294854,10
mda,0.22825257051736117,0.4717038830567617,0.3000435450987425,5
mops,0.24653834226774052,0.7272536869859323,0.026207946957583772,4
cd13-pc7,0.0005814606556668878,0.41623377799987793,0.5831847190856934,1
cgrp-,0.0017445158543220411,0.512317438920339,0.4859380467484395,3
am-4,0.0016589182196184993,0.9758767485618591,0.02246440015733242,1
dic,0.0010485925289685839,0.4940412512463809,0.5049101591968792,10
p(tmc-cl,0.5291090640290477,0.39569859361399085,0.07519234728074241,57
aqp9,0.08981292694807053,0.0005229341331869364,0.9096641540527344,1
tdt,0.07616173475980759,0.8551786541938782,0.06865968555212021,1
sod,0.4121238205829286,0.2564309463785321,0.3314452493970748,5
npt,0.00012707870337180793,9.304576815338805e-05,0.9997798800468445,1
py397 fak,0.00039187211465711397,0.9576411843299866,0.041966935755529754,3
biop4,0.9993913173675537,0.0002527829201426357,0.00035584179568104446,1
hpma,0.00039943106821738183,0.9846153855323792,0.014985146932303905,1
elam-1,0.6364621222019196,0.14979316922836006,0.21374466340057552,2
psa,0.7210901813315493,0.22898237153068685,0.04992744765227793,14
aav2–gfp,0.5830251568917274,0.2716672364483765,0.1453075942651291,21
taxol,0.01713422528568613,0.8375511575828899,0.14531463271387937,11
pak1,0.003090549260377884,0.9696466326713562,0.027262834832072258,1
ttn,0.0003458461433183402,0.9993933439254761,0.0002608063805382699,1
dclks,0.5155416725901887,0.4465443703957135,0.03791393810752197,4
p5klf6,0.16422403304992864,0.2013355144730061,0.6344404310608903,12
cdna,0.6082615943773969,0.1334312066262265,0.2583071940990466,149
tgfb,0.3345197557937354,0.22530431746013668,0.4401758928531005,9
ccl17,0.3307393482731034,0.6690726935242614,0.00018799766742934784,3
pam,0.13740286983458924,0.4638680901757303,0.3987290289817163,13
cn- pase,0.9988844990730286,0.0007503771339543164,0.0003651043225545436,1
psm,0.10700041055679321,0.8927645683288574,0.0002350410068174824,1
cspg4,0.9552032947540283,0.0013283195439726114,0.043468374758958817,1
ace,0.5999193628682405,0.00999604569224175,0.3900845820491668,5
fgf,0.20074498977871708,0.526523261674332,0.272731750272358,152
rhoa,0.8869921367493075,0.029018071493014875,0.08398979978086665,156
peg/pll,0.0008894152706488967,0.496671779488679,0.5024388104211539,2
nl1,0.8571232130581682,0.004108125481500544,0.13876866271708754,11
peo,0.010081734397362195,0.006237631300708641,0.9836806284400109,449
opcs,0.30329980949433155,0.3343284819829317,0.3623717107336979,133
oegs,0.0033105071634054184,0.3911867141723633,0.605502724647522,1
tmc,0.3326218508494397,0.6661865528828154,0.0011915963453551133,3
nrs,0.07465682332518295,0.0716300918595932,0.853713065116608,28
blbp,0.4748057350516319,0.3638272378593683,0.1613670215010643,2
hoxa-3,0.0629800409078598,0.5797252655029297,0.3572946786880493,1
ppre,0.3337939326854665,0.08194768755310686,0.5842583751518471,1355
ptpσ,0.7716588127598609,0.10177312888516744,0.12656805186376122,62
apv,0.49983981212062645,0.00011235840429435484,0.5000478088768432,2
gfap,0.28474839725979356,0.43934038342805604,0.27591121795254436,339
nl4,0.9277624934911728,0.003598135052016005,0.06863937776142848,8
aqp-4,0.46858081718285877,0.38855286113296944,0.1428663287394253,3
crmp2,0.6585336792632006,0.0027526338098040368,0.3387136974391372,9
em,0.11408200781367199,0.04287453695480388,0.8430434561673242,91
oa/aa,0.016271328553557396,0.9727277755737305,0.011000926606357098,1
c3,0.6772085099886163,0.11464595867017748,0.2081455298379509,137
mmp-9,0.7332320068688953,0.20707530481484035,0.05969268125986941,17
ctx,0.4840287424449343,0.24078652162279468,0.275184736965457,4
pfa,0.13547927931916395,0.17963590252717646,0.6848848222858376,45
nogo-a,0.8784255678675623,0.04973046406058886,0.07184396864901682,481
bda,0.34213449306870486,0.2608574426101129,0.3970080638736453,111
ra,0.20796448759410852,0.2757072449124583,0.5163282697818431,120
sod1,0.5012434266973287,0.0009147880919044837,0.49784184945747256,2
adamts-4,0.31156211177585647,0.43890689266845584,0.2495309891673969,4
tgf-1,0.005375699916233619,0.8217612306276957,0.17286308606465658,3
gap43,0.5995130238973787,0.2917256239520941,0.10876134527474726,138
ask1,0.22449853391735813,0.44614869765937326,0.3293527352390811,5
am-7,0.0013205042341724038,0.993636965751648,0.005042583215981722,1
erk1/2,0.6366423115364991,0.31134031647343363,0.0520173743459184,28
myt-2,0.5339563749730587,0.014345004012284335,0.45169861245085485,2
fitc,0.22328781715768856,0.6175759959500283,0.1591361862156191,10
biop2,0.9993913173675537,0.0002527829201426357,0.00035584179568104446,1
map-2,0.4178406683404319,0.15028474249447754,0.4318745788996239,16
nrn1,0.6724952153977938,0.13438176868315038,0.1931230106028254,70
dapi,0.07898189775793678,0.5184796778239137,0.40253842955050795,114
hoxa-2,0.0629800409078598,0.5797252655029297,0.3572946786880493,1
hmts,0.002633019583299756,0.940588116645813,0.05677880346775055,1
igg,0.28040606902098403,0.5574405108504301,0.16215342071970823,111
npfs,0.0029527705628424883,0.9487679600715637,0.048279279260896146,2
oxpc,0.98012375831604,0.019783860072493553,9.228279668604955e-05,2
tgf-,0.16170663926429685,0.734748811881552,0.10354455178977721,49
tnf-a,0.6607589115026511,0.29667054036205326,0.042570531555005196,18
mptp,0.7360974798599879,0.0005291050765663385,0.2633734109112993,3
olig2,0.2951393116468569,0.37223221986607224,0.3326284570925747,21
grgds,0.3692796339819324,0.08041874039918184,0.5503016375005245,2
p-creb,0.001134679652750492,0.9983043670654297,0.000560986518394202,1
gfra1,0.16817120700579835,0.7736805751919746,0.05814819998340681,4
ppi,0.1164728603910575,0.05177972923987461,0.8317474113853163,764
etbr,0.42419083157437854,0.0047014016367029395,0.5711077725281939,5
p75ntr,0.8850756729667225,0.05170026655500608,0.06322406079393197,69
nfat,0.9122882008552551,0.07936600132088642,0.00834581583039835,5
rtk,0.9969727993011475,0.00251524755731225,0.0005120235146023333,1
il1rn,0.9978131055831909,0.0019106401596218348,0.000276144448434934,1
galc,0.6327739994270484,0.10037000218422194,0.2668560086306322,11
jak2,0.5530943423509598,0.014455950178671628,0.4324497636407614,2
pal,0.06522095196487498,0.10979151437508831,0.8249875311810297,33
lc,0.32895620099297956,0.21842118048613582,0.4526226177287754,30
npc,0.03373800206463784,0.003197068828740157,0.9630649387836456,4
atf3,0.013275750850360575,0.8402944149316421,0.1464298303056109,7
acs,0.4961368250628261,0.17074723598408229,0.3331159518145594,9
il-6,0.29949737257648895,0.39800058923139114,0.30250204004321285,114
tnfbp,0.9883022904396057,0.0008697170997038484,0.01082801166921854,1
map1b,0.555867927229093,0.2122203318940592,0.23191173572916743,61
p-stat3,0.6722547075780178,0.1732997471874653,0.15444553828921118,27
nimp,0.04812364898335935,0.01580693225329404,0.9360694083869541,112
cams,0.3823837168469995,0.3854871311740243,0.23212915122200717,27
il-1,0.43730854652880224,0.3796700490641524,0.18302141729247523,50
bdnf,0.710592626662577,0.18838446917744342,0.10102290028928165,587
bfgf,0.2570700056344864,0.3762253646526156,0.3667046265776612,218
bbb,0.19048653188049988,0.06994908908784835,0.739564377611151,168
bhlhe40,0.0023129033797886223,0.9965584874153137,0.0011285912769380957,2
tgfβ,0.5191695837614437,0.3501805146055024,0.13064989812361696,6
nlcam,0.4730551838874817,0.4318752884864807,0.09506954997777939,1
mapk1,0.00040643481770530343,0.9945682287216187,0.00502536678686738,1
hap,0.00014328002907859627,0.00011518626342876814,0.9997414946556091,2
cy7,0.14382920992405465,0.6283228000005087,0.2278479846815268,3
fcs,0.0018873700076558937,0.3325595979549689,0.6655530678108335,3
hepes,0.3007821986808267,0.10302988421899499,0.5961879370326642,10
il6,0.9929323196411133,0.00687679520342499,0.00019086006795987487,2
ngr3,0.881306243794305,0.030564179299939757,0.0881295695029881,28
vim,0.6202744560485537,0.35659564613491634,0.02312988053546922,11
pkc,0.5792944169763359,0.2763234264173661,0.14438214719702955,25
sac,0.20024805082034922,0.20598173315627114,0.5937702152622902,150
ae1,0.004224313423037529,0.9944596290588379,0.0013160665985196829,1
mif,0.20100244818540353,0.49148474779683643,0.3075128016087761,34
pmek1/2,0.955629825592041,0.0010785140621010214,0.043291643960401416,2
gaps,0.12497767488236734,0.1040858614140104,0.7709364632064535,56
sfk,0.5491478483527317,0.34987241742101105,0.10097973745951094,32
nt3,0.820479248070668,0.041901109004317295,0.13761965074927898,92
jnk,0.48792780832930777,0.41056578987557996,0.1015064001043183,21
parv,0.21029214726149803,0.1473113778217036,0.6423964601597705,21
egf-l,0.7119173022417401,0.28741188420514974,0.0006707918847886114,14
rhogdi,0.9977282683054606,0.0010306566982762888,0.0012410740164341405,3
sdf-1,0.4985778316928956,0.22554399459860228,0.27587818391743657,19
at2,0.5892631939982999,0.16004094818640624,0.2506958628117799,144
gap-43,0.5085501912622685,0.2494828289504818,0.24196698358533017,356
tr,0.13932878427554637,0.053327621319892514,0.807343588630569,21
dscam,0.30336281866966247,0.32875912840445026,0.36787805339668456,51
postn,0.8686821620490913,0.1277301912189484,0.0035876525451255603,56
pnp,0.4849918410181999,0.5133438557386398,0.0016642551199765876,2
htt,0.10276172362973665,0.006617192669916077,0.8906210873677007,497
dtt,0.985392153263092,0.014350653626024723,0.0002570893266238272,1
hspgs,0.5300647580489136,0.3082465909913146,0.16168866079188823,19
pedf,0.31049866459060077,0.6777681811706445,0.011733162731876032,28
syncam,0.24825867373147048,0.2976328870281577,0.4541084597512963,4
gsk3b,0.6188994239782915,0.31111298729052633,0.06998758915737695,33
laminin,0.06609046435827866,0.8198568573400993,0.11405267636187741,539
cop-1,0.9990094900131226,0.00013611283793579787,0.0008544014999642968,2
nmag,0.9886154532432556,0.0009021844016388059,0.010482377372682095,1
aav2,0.3457459120692229,0.332523770684812,0.3217303029927162,31
nt-4,0.8617289238186046,0.13723856673459522,0.0010325114589332688,11
pmp22,0.7645432710647583,0.10624939351740371,0.12920732221100478,30
klf4,0.30139503765967673,0.6722736414187238,0.026331328244123143,20
canp,0.8217224853724474,0.004084300085463945,0.17419321232420557,17
mr,0.07351663966214801,0.051112220772211,0.8753711247551109,80
rbd,0.9990641474723816,0.00022745410387869924,0.0007083972450345755,1
ach,0.7559182229387635,0.06489382190150483,0.17918794498708687,17
nadph,0.38542669379967265,0.40196605840537813,0.2126072215178283,8
pvdf,0.001733628962392686,0.4563716319127707,0.5418947380967438,10
bmp,0.5840900776383933,0.304068899956335,0.11184102231640108,42
pakt,0.5097765422142402,0.47508879594533937,0.01513464131494402,8
rust,0.40396367747215617,0.0029268103742077457,0.5931095078213777,19
tlr2,0.5633279134829839,0.3252088102550867,0.11146326052645843,3
sema7a,0.8568370420020074,0.00894240491616074,0.13422052769892617,10
egta,0.0015030143648410948,0.5644241066350203,0.4340729005801092,7
nf-b,0.9997009038925171,0.00015465648903045803,0.00014442195242736489,1
rhd,0.9993582367897034,0.00011956302478211,0.0005221982137300074,1
nds,0.0016498228651471436,0.001103655231418088,0.997246503829956,2
emi1,0.9643557786941528,0.000982641105656512,0.03466161988326348,5
pka,0.7050670185721095,0.293368818208641,0.0015641627880699082,23
tfr,0.25493990109732423,0.1967611523108471,0.5482989457076266,42
pk,0.1257402310220641,0.002061686436718446,0.8721980904883821,8
oxr1,0.8980833490689596,0.0244797141252396,0.07743700877957356,3
ggf2,0.998121440410614,0.0003708268632180989,0.0015076042618602514,1
rock2,0.6836770140960198,0.1496808164781669,0.16664217725372055,64
psd-95,0.7185035745302836,0.2780199060216546,0.003476536483503878,3
ppar-γ,0.25599064864218235,0.03428838262334466,0.7097209393978119,4
gm-csf,0.24913975583331194,0.25143299001501873,0.49942729008034803,4
dpy,0.1204432485246798,0.678235211968422,0.20132154370076022,5
slits,0.4338550507448364,0.2895952361096159,0.2765497184403049,17
odn,0.33380863201455213,0.6587326039831775,0.0074587483298576744,3
inpp5f,0.8647625183400053,0.09033362035141834,0.04490386151276956,78
cs-pg,0.4117859819400889,0.3588414788059059,0.22937253072086605,14
pecam-1,0.011394334180901447,0.6252127547825997,0.3633928796431671,3
fn,0.998814582824707,0.000271673226961866,0.0009137120214290917,1
o-2a,0.11128074057485333,0.0834560749351636,0.805263191690866,33
wga,0.4293587893169994,0.27765496489785924,0.29298622044346606,15
ptk,0.9904869198799133,0.0005392503808252513,0.008973885327577591,1
p5klf4,0.1673093896646275,0.12450389189656232,0.7081867071630602,11
pva,0.001531827754661208,0.49834189252578653,0.5001262608275283,2
tmrd,0.3613258198214074,0.5334367562318221,0.10523742603254505,6
prb1,0.9988038539886475,0.000977195450104773,0.00021900971478316933,1
camkii,0.0002352376759517938,0.9944114089012146,0.005353397689759731,1
hek293,0.3293053736688307,0.129884405680059,0.5408102304063505,8
syt,0.3864415125863161,0.5555915632867254,0.05796694136370206,3
pga,0.1304648412422264,0.4194824151406162,0.4500527639837755,9
ka,0.6618462989189117,0.13636488153861137,0.20178882289154698,41
cont,0.013559057500308634,0.15969414444109795,0.8267468122172762,11
tzds,0.970795750617981,0.025875067338347435,0.0033292651642113924,1
prictor,0.00042462776036700234,0.9484923332929611,0.051083066035062075,4
ci,0.11188199433474272,0.42969209716113366,0.458425902492529,33
ulip,0.012927684932947159,0.0014676253776997328,0.9856047034263611,1
fluc,0.31009689669008367,0.300874093042997,0.38902903798831784,6
ncan,0.8210191822477749,0.022390233844773667,0.1565905671691109,42
myt-1,0.0016790826339274645,0.0011002980172634125,0.9972206354141235,1
pp1,0.612957877095323,0.371431247270084,0.015610854123951867,5
socs,0.1746673661764362,0.6767431678114614,0.14858946576957047,6
cl,0.3124541259027095,0.166633357784378,0.5209125091123263,39
rhnt-3,0.9820463061332703,0.01456446386873722,0.003389243735000491,1
p(cl,0.47084438880483503,0.49228658567153616,0.036869034495566666,16
hh,0.2917133375152704,0.2830555218532913,0.4252311300504236,39
mip-1α,0.7424365256447345,0.24056193938304204,0.017001554952003062,4
phema,0.30083408281077734,0.015381163173717342,0.6837847472116765,9
omgp,0.982700229803128,0.01295113873525971,0.004348628005858184,67
dab,0.33549827387603864,0.36183016339755675,0.30267156905567927,27
lar,0.5975363312823153,0.09497812131098994,0.30748554375617565,340
slpi,0.47225764629547484,0.5259243279215298,0.0018180421575380024,4
bp,0.5397445687194704,0.10409507228016285,0.3561603546544642,27
afgf,0.20109230665871614,0.5969837321188405,0.20192397339592894,9
tnfr,0.999503493309021,0.00030757111380808055,0.00018900539726018906,1
hna,0.1707542583273968,0.06896900539053724,0.7602767342379728,121
hoxa-10,0.0629800409078598,0.5797252655029297,0.3572946786880493,1
gdp,0.9950401335954666,0.0012203157384647056,0.003739574895007536,4
opn,0.10969573759918733,0.8345156907837789,0.05578857119845842,70
tsc1,0.7406745387124829,0.24810696068016114,0.011218491657928098,4
map2,0.4357764554482249,0.28159908856287075,0.28262445899054,24
map kinase,0.4502362473556007,0.5445095746420391,0.005254177102220378,21
rh-b,0.30646581485052593,0.30911022181098813,0.384423962526489,15
pcla,0.2525917303930989,0.48046075857961446,0.2669475110914474,22
il-4,0.2654066283484334,0.5607837698922528,0.17380960497447867,27
trkb,0.7147212173613298,0.12513545229148804,0.16014332131663878,128
hdac6,0.2718032271999012,0.05776329765891811,0.6704335001607736,3
cgmp,0.13180373147658359,0.8592122870927247,0.008983997177543083,13
fak,0.48862266049691244,0.47176570444280513,0.03961163012681936,20
gapdh,0.6232653436960996,0.24323772964241167,0.13349692345279132,24
g- csf,0.00016974470054265112,0.999098539352417,0.0007317961426451802,1
pge2,0.9669509530067444,0.028744637966156006,0.004304372239857912,1
plp-1,0.06963504105806351,0.0003149966069031507,0.9300499558448792,1
sybii,0.03203205119643826,0.9654243886470795,0.0025435201241634786,2
fgf-2,0.13037816392771487,0.579209800523728,0.29041203261615395,227
fgf2,0.15136313394212353,0.530723145998837,0.3179137169170038,105
o4,0.2990046652921592,0.49487807710344595,0.20611728056610445,12
a,0.50803042948246,0.4659222511400003,0.026047298510093242,2
pfn,0.15403158962726593,0.7258123159408569,0.12015604227781296,1
ctb,0.2620258729858896,0.32982745236807076,0.40814667835703794,56
p(tmc,0.520091848233446,0.3893253389961991,0.09058281347002216,65
pgipz,0.22811437126559517,0.43754361459286883,0.3343419764423743,6
stat3,0.3805617854414395,0.462767066458648,0.1566711493790575,138
af-1,0.5208488630774405,0.12095528680785922,0.35819584785753655,9
gfp,0.3350855502501371,0.19852807405117792,0.4663863795859117,392
inos,0.6249011437597801,0.32373389413842235,0.05136497174644319,20
tnfa,0.47018559830677176,0.3974687090441067,0.13234570576524776,9
cs-e,0.5001763466570992,0.48946670229148975,0.010356909146745844,6
igfs,0.030729272635653615,0.43804376137753326,0.5312269628047943,3
tgf-ß,0.01864942628890276,0.6470030860024659,0.3343474902600671,3
plap,0.5528591647744179,0.43925548579136375,0.007885319413617253,2
sod-1,0.9871920347213745,0.0008076639496721327,0.01200027670711279,1
mngf,0.02263465882788296,0.07996771702892147,0.8973975777626038,2
pip2,0.6648321985080007,0.18582177511000605,0.1493460161353661,7
emt,0.6737375110387802,0.01583393558394164,0.310428534867242,2
laminin-1,0.0005112188082421198,0.990357518196106,0.009131256672844756,2
chabc,0.6072600149590716,0.2213661670381354,0.1713738094034098,164
doc,0.000783656904483602,0.15767804880912686,0.8415382901827494,6
am-9,0.0013205042341724038,0.993636965751648,0.005042583215981722,1
mycert,0.3095149099826813,0.6865476965904236,0.003937405068427324,1
sybi,0.02138192483835155,0.6436405202305954,0.33497751500302303,3
ks,0.23571953277860302,0.23702137697610476,0.527259074659121,17
ntf,0.5914870561100543,0.03574649227812188,0.37276644363009837,8
folr1,0.0006933447439223528,0.9960944056510925,0.003212313400581479,1
fatp,0.6472646594047546,0.02400541491806507,0.3287299573421478,1
ntn,0.04607007043101006,0.027601509603711397,0.9263284160087125,124
plgf,0.31712308767600916,0.6748916301876307,0.00798527577353525,4
nf-kβ,0.9989709854125977,0.0002301329222973436,0.0007990010199137032,1
nf-κb,0.6156140019052795,0.2225706442113733,0.16181533985668684,21
phm,0.16645124480601226,0.00023414533886049563,0.8333146129152738,6
soc3,0.0010957422200590372,0.00279905810020864,0.9961051940917969,1
sema,0.7475108515478496,0.06731962396443122,0.18516953800281044,10
sg,0.09464062060466788,0.22218860239221472,0.683170786633407,13
egfp+,0.048028212268945936,0.5485484453701146,0.4034233422490716,36
magr,0.7576540382578969,0.000600532403041143,0.24174541545289685,4
ppars,0.21951306251382144,0.7286089062690735,0.05187801335705444,6
hb-egf,0.3056061650797921,0.46389623708091676,0.2304976048456554,19
irf5,0.6584222921635956,0.20459875112574083,0.136978938622633,10
cpt-camp,0.25023607229377376,0.7494364489393774,0.00032747917794040404,4
aqp,0.3361661761103148,0.07591280279313131,0.58792103096348,35
bzip,0.3465679599238293,0.35952169414044227,0.29391037239526796,7
civ,0.15831640879464845,0.8412293906916272,0.00045419535440900785,11
sicam-i,0.00887260027229786,0.9901732206344604,0.0009541878243908286,1
sema6a,0.9493200778961182,0.0015485547056804144,0.04913136328468681,14
acpase,0.48103542554114637,0.1605146664963589,0.3584498857356569,6
map2a+,0.009162118192762136,0.5789794796146452,0.4118583848539856,4
jak,0.8674021611611048,0.12861990984674776,0.003977935092431532,6
rhamm,0.7099398970603943,0.28893381357192993,0.0011262893676757812,1
plg,0.1508751917524478,0.45745431350223953,0.39167049411844346,16
fgfs,0.13724460761957083,0.8021441901271994,0.06061118918957866,11
dopac,0.950860857963562,0.030036997981369495,0.01910220319405198,2
tcep,0.14934839360025112,0.0003094246712862514,0.8503421741853734,14
iba1,0.42614579001570485,0.21376875166814507,0.36008544978893564,35
ppc,0.08842217856290517,0.0004358008851704653,0.9111420204024762,25
p-stat3 tyr,0.6442416894676474,0.2462396449079582,0.1095186717856753,15
timps,0.11087124550249428,0.8736949861049652,0.015433772234246135,2
hbfgf,0.336657285564191,0.37571884689774987,0.28762387243720394,6
xbp1,0.685709584248453,0.1740777152683285,0.14021270168952218,29
itga7,0.9480199705470692,0.0434131368965609,0.00856687072320545,11
cnp,0.7433141769808052,0.04410107451188933,0.2125847421474256,21
mk,0.0005860629957169294,0.14135574687679764,0.8580582022666932,5
cre,0.6934383419967688,0.16204491108041302,0.14451674807596168,38
mbcd,0.4496063359688516,0.2516915767008675,0.2987020856442431,33
ptsd,0.9863961935043335,0.0007507008849643171,0.012853147462010384,1
oncomodulin,0.05629050345497059,0.8138930625037143,0.1298164496110985,19
hsyn,0.8705841302871704,0.12506498396396637,0.004350895062088966,1
pjnk,0.004483684431761503,0.9947945475578308,0.0007218238897621632,1
psp,0.6419756412506104,0.3499935567378998,0.008030766621232033,1
saha,0.4002037059981376,0.06904419837519526,0.53075210750103,2
tnf-,0.7874282801058143,0.210851620464382,0.0017201172362547369,10
ttx,0.6063008025589892,0.06798720520386911,0.32571201084989726,17
csat,0.0013500697095878422,0.6899548719326655,0.3086950445237259,3
sds,0.290979642010107,0.20598808865179308,0.5030322821862923,19
αtub,0.03344306722283363,0.7260755896568298,0.24048133194446564,1
flg,0.9994640946388245,0.00041456150938756764,0.00012136251461924985,1
ach4,0.5111729335039854,0.4851811435655691,0.0036459256807575002,2
plla,0.6382013999779398,0.3464093207148835,0.01538927424311017,3
rockii,0.8231322765350342,0.0014702781336382031,0.1753973513841629,2
hsp70,0.41266078321496025,0.3349671169503856,0.25237210497625845,67
igf1r,0.6069137750481869,0.2720635484937785,0.1210226835706139,22
dii,0.07139214743837065,0.48811976548677194,0.4404880847862167,62
fbn,0.6867125183343887,0.3119395843241364,0.0013479628541972488,2
tenascin,0.6472397686142358,0.22477842736621823,0.1279818061600963,100
oh,0.05081612270168989,0.07122998738434815,0.8779539028793286,28
hmgb1,0.3946873422925516,0.4006148258461811,0.20469783321368595,24
fmrp,0.9949509104092916,0.0018932851429174964,0.003155798238973754,3
limk1,0.5725091028098876,0.2530830923273103,0.1744078091735271,26
psn,0.7468762080067697,0.14485176309821765,0.10827203497972042,29
il-1b,0.17117615901127767,0.7307897795612613,0.09803406364129236,15
hyal-4,0.389525827942028,0.22288822072921363,0.3875859573459753,27
gale,0.553027978476166,0.08951201573563594,0.35746001315055764,16
l-dopa,0.24910504270519596,0.49915417504962534,0.2517408164712833,4
drgs,0.5043662879241138,0.2513979688542133,0.2442357442877394,105
bmg,0.19240018725395203,0.7894029021263123,0.018196899443864822,1
pe,0.224021665368647,0.024337779512019812,0.7516405487632645,28
erk,0.3640507902322993,0.47616395952707424,0.15978524318338852,33
npy,0.5900764570085032,0.337433526141727,0.07249000237633092,14
tgfa,0.00039448842289857566,0.9985418319702148,0.0010636819060891867,1
page,0.010752045934216895,0.007251248385534781,0.9819967059265589,207
krab,0.9989874362945557,0.0004278014918478827,0.0005847514791336531,3
rgma,0.30135878194647375,0.656898962308187,0.04174224911257625,75
rptp,0.8710066974163055,0.12806669459314435,0.0009265569060517009,4
rtn4,0.81187224984169,0.002110234617430251,0.18601753229741008,5
fgfr,0.1062585085273895,0.7056322436415939,0.1881092496601923,20
sf,0.12120234500136301,0.2500737297192451,0.6287239249015912,53
tace,0.9553229570388794,0.043275820001144896,0.0014012521802214905,5
co,0.11833165940229433,0.08554027545879864,0.7961280574110989,108
pbr,0.7995326301209967,0.18039362629960207,0.020073746008248152,11
sema3a,0.846462320901613,0.03609816928315013,0.11743951209077749,240
igf1,0.5438299868520434,0.24073478558751626,0.21543525975919858,11
nogo66,0.7946749657392502,0.08910595909328549,0.1162190823990386,10
shh,0.4625769325233981,0.20012272786910135,0.3373003365361254,79
atf,0.5955250996630639,0.003808075280782456,0.4006667969127496,3
