,% Inhibitor,% Promoter,% Neither,Total Sentences Found
hats,0.03497892517953005,0.4649828269612044,0.5000382724174415,2
ptp,0.9353231713175774,0.015838215990394627,0.048838623680543,12
ptges,0.994917631149292,0.004861952271312475,0.0002204306365456432,1
bme,0.0024246261527878232,0.7469360128488916,0.2506393205767381,4
p-c-jun,0.32664803340740034,0.3941524719557492,0.27919948640046643,10
naa,0.30985853464032215,0.0028780344800907187,0.6872634449973702,6
y27632,0.9995294213294983,0.00024611704793642275,0.0002245217838208191,2
mbp,0.7248875028151087,0.16778820391534827,0.10732428556022933,125
ephrin,0.6054073031516868,0.32330480536314243,0.07128789272361533,19
nt-3,0.8242278742853201,0.057598894642219796,0.11817323089726278,266
csl,0.335444466163822,0.11782902447414338,0.5467265133625273,17
np-1,0.7582769542319798,0.0545408455003972,0.18718219213731477,19
pan/ pvc,0.019774716378378798,0.00174296755449177,0.9784823060035706,4
hmg-coa,0.9992492198944092,0.00013937602489022538,0.0006113939016358927,2
hsp,0.5432461167220026,0.4530657687989463,0.0036881424457533285,7
p-akt,0.9542308002710342,0.006973579962505028,0.03879562811926007,4
tgf,0.004182202355877962,0.4993859937421803,0.4964318185617837,6
camp-dpk,0.0008709478424862027,0.9988499879837036,0.00027907255571335554,1
ampa,0.686551768171117,0.1783407646059794,0.13510748869655226,19
vdr,0.45723170042037964,0.5422746539115906,0.0004936140612699091,1
app,0.4917928882212819,0.18626597889191257,0.3219411284636743,95
tmb,0.0018334397744703373,0.6170269524705613,0.38113958412681576,7
dlk,0.711370917968452,0.06873783748596907,0.21989123680396006,4
cs-pgs,0.40730181439058094,0.1771604168735554,0.4155377569301944,34
htk,0.8100815117359161,0.016571565841635067,0.17334697589588663,3
sm,0.5073249246540854,0.09971090385329262,0.39296417442728854,80
msf,0.43933093367112713,0.42081391862302553,0.1398551410040289,11
caspases,0.5913627132749752,0.08726688865772303,0.3213703869046185,16
gaba,0.28004631629337384,0.2921725267084791,0.42778116233384933,30
vla-4,0.6780780404806137,0.31575424765469506,0.0061677435878664255,2
pten,0.8943488625332905,0.04314664170335123,0.06250449496448619,363
ct-b,0.20248488857032498,0.5637431623996235,0.2337719423827366,10
irf,0.1980893971367035,0.14194965962225017,0.6599609304696128,53
hb-egf igf-1,0.9051008522510529,0.09132838994264603,0.0035707898205146194,2
lps,0.8678640825673938,0.019088958611973794,0.1130469733980135,8
cs-gag,0.7552741731383971,0.23887273410218768,0.005853080807095726,7
pip3,0.7938205750542693,0.006567742821061984,0.19961168286390601,5
sigma,0.4559567086955992,0.267021560934089,0.2770217179799407,56
activin-b,0.3343245425882439,0.6653111684524143,0.0003642939360967527,3
pont,0.18427912387309386,0.36035676488145196,0.4553641142398271,69
lif,0.5073744523847381,0.43656941315945613,0.0560561278264989,48
pdpk1,0.9982428252696991,0.0001971313831745647,0.0015600655460730195,2
mam,0.16633434796252308,0.00015045592408569064,0.8335152010355765,6
apc,0.522723014794922,0.28738962405519225,0.1898873577800779,14
nt4,0.9990516304969788,0.0004691684152930975,0.00047918723430484533,1
trks,0.6617626570738279,0.13118934191879816,0.2070479945916584,13
zymosan,0.17800338862746554,0.7691902176454841,0.052806413825497396,42
dnqx,0.03550007566809654,0.8986289501190186,0.06587090343236923,1
ipsi,0.15884867011127088,0.11071891563495893,0.7304324142491133,457
fniii,0.8775451481342316,0.09766208609653404,0.024792742678982904,4
